Grid	Lat/Lon hddd°mm.mmm'
Datum	WGS 84



Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	Pushkino-Taldom-Hot'kovo	28/08/2005 14:24:57 	4:57:56	296 km	60 kph

Header	Position	Time	Altitude	Depth	Temperature	Leg Length	Leg Time	Leg Speed	Leg Course
Trackpoint	N56 08.723 E38 00.588	28/08/2005 14:58:12 	183 m			189 m	0:00:06	113 kph	10° true
Trackpoint	N56 08.862 E38 00.628	28/08/2005 14:58:20 	182 m			261 m	0:00:08	118 kph	9° true
Trackpoint	N56 08.994 E38 00.665	28/08/2005 14:58:27 	180 m			246 m	0:00:07	127 kph	9° true
Trackpoint	N56 09.169 E38 00.715	28/08/2005 14:58:36 	178 m			330 m	0:00:09	132 kph	9° true
Trackpoint	N56 09.260 E38 00.742	28/08/2005 14:58:41 	177 m			170 m	0:00:05	122 kph	9° true
Trackpoint	N56 09.416 E38 00.787	28/08/2005 14:58:50 	177 m			294 m	0:00:09	117 kph	9° true
Trackpoint	N56 09.595 E38 00.839	28/08/2005 14:59:00 	177 m			336 m	0:00:10	121 kph	9° true
Trackpoint	N56 09.818 E38 00.904	28/08/2005 14:59:12 	178 m			419 m	0:00:12	126 kph	9° true
Trackpoint	N56 09.964 E38 00.946	28/08/2005 14:59:20 	179 m			275 m	0:00:08	124 kph	9° true
Trackpoint	N56 10.188 E38 01.011	28/08/2005 14:59:33 	180 m			420 m	0:00:13	116 kph	9° true
Trackpoint	N56 10.334 E38 01.060	28/08/2005 14:59:42 	179 m			276 m	0:00:09	110 kph	11° true
Trackpoint	N56 10.416 E38 01.102	28/08/2005 14:59:47 	178 m			160 m	0:00:05	115 kph	16° true
Trackpoint	N56 10.499 E38 01.164	28/08/2005 14:59:52 	178 m			167 m	0:00:05	120 kph	23° true
Trackpoint	N56 10.563 E38 01.231	28/08/2005 14:59:56 	177 m			136 m	0:00:04	123 kph	30° true
Trackpoint	N56 10.637 E38 01.327	28/08/2005 15:00:01 	175 m			170 m	0:00:05	122 kph	36° true
Trackpoint	N56 10.703 E38 01.423	28/08/2005 15:00:06 	173 m			158 m	0:00:05	114 kph	39° true
Trackpoint	N56 10.843 E38 01.630	28/08/2005 15:00:17 	171 m			336 m	0:00:11	110 kph	40° true
