Grid	Lat/Lon hddd°mm.mmm'
Datum	WGS 84



Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	Пушкино - Кимры	09/10/2005 11:17:01 	4:59:15	306 km	61 kph

Header	Position	Time	Altitude	Depth	Temperature	Leg Length	Leg Time	Leg Speed	Leg Course
Trackpoint	N56 16.592 E37 43.083	09/10/2005 11:53:59 	167 m			285 m	0:00:11	93 kph	41° true
Trackpoint	N56 16.696 E37 43.275	09/10/2005 11:54:13 	170 m			277 m	0:00:14	71 kph	46° true
Trackpoint	N56 16.706 E37 43.292	09/10/2005 11:54:15 	172 m			25 m	0:00:02	45 kph	44° true
Trackpoint	N56 16.780 E37 43.472	09/10/2005 11:54:28 	176 m			231 m	0:00:13	64 kph	54° true
Trackpoint	N56 16.927 E37 43.881	09/10/2005 11:54:50 	191 m			502 m	0:00:22	82 kph	57° true
Trackpoint	N56 16.932 E37 43.895	09/10/2005 11:54:51 	191 m			17 m	0:00:01	61 kph	55° true
Trackpoint	N56 16.967 E37 43.918	09/10/2005 11:54:56 	191 m			69 m	0:00:05	49 kph	20° true
Trackpoint	N56 17.099 E37 43.875	09/10/2005 11:55:08 	189 m			250 m	0:00:12	75 kph	350° true
Trackpoint	N56 17.306 E37 43.791	09/10/2005 11:55:23 	187 m			394 m	0:00:15	95 kph	347° true
Trackpoint	N56 17.438 E37 43.641	09/10/2005 11:55:33 	192 m			290 m	0:00:10	104 kph	328° true
Trackpoint	N56 17.671 E37 43.350	09/10/2005 11:55:51 	205 m			526 m	0:00:18	105 kph	325° true
Trackpoint	N56 17.803 E37 43.185	09/10/2005 11:56:05 	202 m			297 m	0:00:14	76 kph	325° true
Trackpoint	N56 17.917 E37 43.127	09/10/2005 11:56:18 	204 m			220 m	0:00:13	61 kph	344° true
Trackpoint	N56 18.093 E37 42.987	09/10/2005 11:56:41 	209 m			357 m	0:00:23	56 kph	336° true
Trackpoint	N56 18.150 E37 42.923	09/10/2005 11:56:55 	208 m			124 m	0:00:14	32 kph	328° true
Trackpoint	N56 18.146 E37 42.873	09/10/2005 11:57:01 	209 m			52 m	0:00:06	31 kph	262° true
Trackpoint	N56 18.137 E37 42.784	09/10/2005 11:57:20 	209 m			93 m	0:00:19	18 kph	260° true
Trackpoint	N56 18.144 E37 42.845	09/10/2005 11:57:55 	210 m			65 m	0:00:35	7 kph	79° true
Trackpoint	N56 18.146 E37 42.895	09/10/2005 11:58:02 	210 m			51 m	0:00:07	26 kph	86° true
Trackpoint	N56 18.455 E37 42.788	09/10/2005 11:58:46 	218 m			584 m	0:00:44	48 kph	349° true
Trackpoint	N56 18.554 E37 42.806	09/10/2005 11:59:16 	219 m			185 m	0:00:30	22 kph	6° true
Trackpoint	N56 18.571 E37 42.786	09/10/2005 11:59:20 	220 m			37 m	0:00:04	34 kph	327° true
Trackpoint	N56 18.645 E37 42.662	09/10/2005 11:59:30 	220 m			189 m	0:00:10	68 kph	317° true
Trackpoint	N56 18.741 E37 42.438	09/10/2005 11:59:43 	213 m			291 m	0:00:13	80 kph	308° true
Trackpoint	N56 18.794 E37 42.236	09/10/2005 11:59:54 	207 m			230 m	0:00:11	75 kph	295° true
Trackpoint	N56 18.841 E37 42.018	09/10/2005 12:00:15 	214 m			241 m	0:00:21	41 kph	291° true
Trackpoint	N56 18.871 E37 41.877	09/10/2005 12:00:26 	217 m			155 m	0:00:11	51 kph	291° true
Trackpoint	N56 18.922 E37 41.630	09/10/2005 12:00:38 	217 m			272 m	0:00:12	82 kph	290° true
Trackpoint	N56 18.953 E37 41.338	09/10/2005 12:00:49 	214 m			306 m	0:00:11	100 kph	281° true
Trackpoint	N56 19.006 E37 40.686	09/10/2005 12:01:12 	193 m			678 m	0:00:23	106 kph	278° true
Trackpoint	N56 19.037 E37 40.196	09/10/2005 12:01:30 	213 m			507 m	0:00:18	101 kph	276° true
Trackpoint	N56 19.009 E37 39.755	09/10/2005 12:01:46 	212 m			457 m	0:00:16	103 kph	263° true
