Grid	Lat/Lon hddd°mm.mmm'
Datum	WGS 84

Header	Name	Description	Type	Position	Altitude	Depth	Proximity	Temperature	Display Mode	Color	Symbol	Facility	City	State	Country	Date Modified	Link	Categories

Waypoint	Александрийский столб		User Waypoint	N59 56.336 E30 18.937	15 m				Symbol & Name	Unknown	Waypoint
Waypoint	Гостиница в Репино		User Waypoint	N60 09.782 E29 51.325	-11 m				Symbol & Name	Unknown	Waypoint

Header	Position	Time	Altitude	Depth	Temperature	Leg Length	Leg Time	Leg Speed	Leg Course	Satellites

Trackpoint	N55 44.299 E37 36.082	18/04/2012 10:52:15 	0 m			0 m	0:00:10	2 kph	235° true	1	0.0
Trackpoint	N55 44.279 E37 36.133	18/04/2012 10:52:19 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.279 E37 36.133	18/04/2012 10:52:23 	0 m			0 m	0:00:10	2 kph	235° true	1	0.0
Trackpoint	N55 44.279 E37 36.133	18/04/2012 10:52:27 	0 m			0 m	0:00:10	2 kph	235° true	1	0.0
Trackpoint	N55 44.279 E37 36.133	18/04/2012 10:52:31 	0 m			0 m	0:00:10	2 kph	235° true	1	0.0
Trackpoint	N55 44.306 E37 36.090	18/04/2012 11:21:35 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.279 E37 36.133	18/04/2012 11:21:40 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.306 E37 36.090	18/04/2012 11:31:36 	0 m			0 m	0:00:10	2 kph	235° true	1	0.0
Trackpoint	N55 44.287 E37 36.113	18/04/2012 11:31:41 	101 m			0 m	0:00:10	2 kph	235° true	3	10.5
Trackpoint	N55 44.306 E37 36.090	18/04/2012 11:51:37 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.306 E37 36.090	18/04/2012 11:51:41 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.306 E37 36.090	18/04/2012 11:53:51 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.306 E37 36.090	18/04/2012 11:54:32 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.306 E37 36.090	18/04/2012 11:54:50 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.306 E37 36.090	18/04/2012 11:55:20 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.306 E37 36.090	18/04/2012 11:55:51 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.306 E37 36.090	18/04/2012 11:56:20 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.306 E37 36.090	18/04/2012 11:56:51 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.306 E37 36.090	18/04/2012 11:57:21 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.306 E37 36.090	18/04/2012 11:57:51 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.306 E37 36.090	18/04/2012 11:58:22 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.306 E37 36.090	18/04/2012 11:59:32 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.306 E37 36.090	18/04/2012 11:59:37 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.306 E37 36.090	18/04/2012 12:01:21 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.306 E37 36.090	18/04/2012 12:01:49 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.306 E37 36.090	18/04/2012 12:02:20 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.306 E37 36.090	18/04/2012 12:03:01 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.306 E37 36.090	18/04/2012 12:03:30 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.306 E37 36.090	18/04/2012 12:03:37 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.306 E37 36.090	18/04/2012 12:04:07 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.306 E37 36.090	18/04/2012 12:05:40 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.306 E37 36.090	18/04/2012 12:06:10 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.306 E37 36.090	18/04/2012 12:08:51 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.306 E37 36.090	18/04/2012 12:08:55 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.306 E37 36.090	18/04/2012 12:09:24 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.306 E37 36.090	18/04/2012 12:09:52 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.306 E37 36.090	18/04/2012 12:10:23 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.306 E37 36.090	18/04/2012 12:12:11 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.306 E37 36.090	18/04/2012 12:12:15 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.306 E37 36.090	18/04/2012 12:12:43 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.306 E37 36.090	18/04/2012 12:13:11 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
